Target,Model,All_MAE,All_RMSE,All_R2,All_AbsErr_P95,All_AbsErr_P99,Tail_Rate,Tail_MAE,Tail_RMSE,Tail_R2,Tail_AbsErr_P95,Tail_AbsErr_P99,Split
dVIIRS,Ridge,2.475284167970742,4.426560777291254,0.008414681238921307,8.391092018607262,17.521229867848835,0.10535900104058273,10.33397519625442,12.215067026048473,0.01663182650324635,23.86418104690127,35.3341932403446,Random(70/15/15)
dVIIRS,Ridge_CL,3.8883426421603833,5.86110459312456,-0.7384258376695187,11.747503208838383,21.687710159749678,0.10535900104058273,10.248158076257697,13.21413651638531,-0.15080573647286122,24.9178429793844,38.571160694076426,Random(70/15/15)
dVIIRS,Ridge_RMSE_CL,2.8280310474304415,4.731298536811248,-0.13281223062159753,9.165972135461754,17.808675232867884,0.10535900104058273,10.122319973152576,12.322211269029452,-0.000695025620455425,23.83716100364086,39.40982999595735,Random(70/15/15)
dVIIRS,ElasticNet,2.444625821050072,4.445629582276244,-0.00014685212908793766,8.329952622654845,18.18336224729976,0.10535900104058273,10.465397011047715,12.332080532269794,-0.002298646508093416,23.036420555831654,33.791831689026516,Random(70/15/15)
dVIIRS,ElasticNet_CL,2.898362854317869,4.640750539637405,-0.08986742634727829,8.767547074253766,17.762598529558712,0.10535900104058273,10.372965164290104,12.343617662472788,-0.004174900733628251,22.936816955032672,34.28905616536917,Random(70/15/15)
dVIIRS,ElasticNet_RMSE_CL,2.522163022867268,4.464410347109807,-0.008615033476515599,8.290128981186804,17.959372999844206,0.10535900104058273,10.4342990151576,12.3185565303652,-0.00010150610495474055,22.89944437837075,33.44264902339776,Random(70/15/15)
dVIIRS,SVR,2.5056115534546137,4.548892100389903,-0.04714903300453255,8.494476632698468,18.547684748415215,0.10535900104058273,10.28526435334438,12.40342759561487,-0.01392976226703202,23.658844852227976,40.434148223530556,Random(70/15/15)
dVIIRS,SVR_CL,4.232899019421094,7.378301168129899,-1.754926278404652,14.7526232159082,30.072155851927693,0.10535900104058273,12.083627134746157,16.391708371470187,-0.770813716362903,34.167420544907316,54.847149834482835,Random(70/15/15)
dVIIRS,SVR_RMSE_CL,2.966555076357111,5.263483236945427,-0.4019861176184505,10.399601346632425,21.639062569035726,0.10535900104058273,10.415332565762881,13.286877108781601,-0.16351041728918037,26.112831500423233,43.56213016841308,Random(70/15/15)
dVIIRS,RandomForest,2.391484988376368,4.296007435763646,0.06604215631660071,7.993395799636836,16.834943040212018,0.10535900104058273,9.192805421097166,11.39538914579358,0.1441793507221254,22.029706652323423,38.228876077270336,Random(70/15/15)
dVIIRS,RandomForest_CL,2.634541812202817,4.640832652699112,-0.08990599473926753,8.892440999366842,19.921301778057128,0.10535900104058273,8.736207166219538,11.36528408851843,0.1486952994370644,23.89343116443479,34.99358798671891,Random(70/15/15)
dVIIRS,RandomForest_RMSE_CL,2.5233111123290803,4.476072252123149,-0.01389131168493618,8.49325076952481,18.682884826819294,0.10535900104058273,8.844333178586165,11.313006535270851,0.15650887846725614,23.409146669709035,35.574296160131134,Random(70/15/15)
dVIIRS,ExtraTrees,2.4734462748984964,4.413742236475321,0.014149279080532207,8.340089645703618,17.120370348803206,0.10535900104058273,9.271863993349543,11.48465423169253,0.1307187974754671,22.743986719767182,34.60867368164051,Random(70/15/15)
