Target,Model,All_MAE,All_RMSE,All_R2,All_AbsErr_P95,All_AbsErr_P99,Tail_Rate,Tail_MAE,Tail_RMSE,Tail_R2,Tail_AbsErr_P95,Tail_AbsErr_P99,Split
dVIIRS,XGBoost,2.4341378854901654,4.332573935816284,0.05007527790675648,8.31314369440079,17.960771764814826,0.10535900104058273,9.283708910906205,11.398351104795472,0.14373439266272714,22.65608257651322,35.39821886062622,Random(70/15/15)
dVIIRS,XGBoost_CL,3.56527314698091,6.496370209494884,-1.1356926709125283,12.395050263404839,27.21516356468211,0.10535900104058273,9.981508866541178,14.124842164717844,-0.3148967343558948,29.66565017700193,45.53617752075201,Random(70/15/15)
dVIIRS,XGBoost_RMSE_CL,2.502982756118586,4.4413816505916826,0.0017635750052567012,8.47335574626922,18.25016646027567,0.10535900104058273,9.174848862084342,11.420684075175114,0.14037571591659315,22.709652328491124,36.317506365776055,Random(70/15/15)
dVIIRS,Ridge,2.475284167970742,4.426560777291254,0.008414681238921307,8.391092018607262,17.521229867848835,0.10535900104058273,10.33397519625442,12.215067026048473,0.01663182650324635,23.86418104690127,35.3341932403446,Random(70/15/15)
dVIIRS,Ridge_CL,3.8883426421603833,5.86110459312456,-0.7384258376695187,11.747503208838383,21.687710159749678,0.10535900104058273,10.248158076257697,13.21413651638531,-0.15080573647286122,24.9178429793844,38.571160694076426,Random(70/15/15)
dVIIRS,Ridge_RMSE_CL,2.468699289632815,4.424792369661293,0.009206798128446714,8.347558845651816,17.548996098906024,0.10535900104058273,10.344466911846858,12.221836319002147,0.015541607067508623,23.730784143739644,35.20586914505852,Random(70/15/15)
dVIIRS,ElasticNet,2.444625821050072,4.445629582276244,-0.00014685212908793766,8.329952622654845,18.18336224729976,0.10535900104058273,10.465397011047715,12.332080532269794,-0.002298646508093416,23.036420555831654,33.791831689026516,Random(70/15/15)
dVIIRS,ElasticNet_CL,2.898362854317869,4.640750539637405,-0.08986742634727829,8.767547074253766,17.762598529558712,0.10535900104058273,10.372965164290104,12.343617662472788,-0.004174900733628251,22.936816955032672,34.28905616536917,Random(70/15/15)
dVIIRS,ElasticNet_RMSE_CL,2.4439249864573274,4.445937666677002,-0.0002854783077543832,8.341107450316501,18.182823795333118,0.10535900104058273,10.466812943039937,12.333115895886504,-0.002466953406809802,23.057074437926342,33.81137155051918,Random(70/15/15)
dVIIRS,SVR,2.5056115534546137,4.548892100389903,-0.04714903300453255,8.494476632698468,18.547684748415215,0.10535900104058273,10.28526435334438,12.40342759561487,-0.01392976226703202,23.658844852227976,40.434148223530556,Random(70/15/15)
dVIIRS,SVR_CL,4.232899019421094,7.378301168129899,-1.754926278404652,14.7526232159082,30.072155851927693,0.10535900104058273,12.083627134746157,16.391708371470187,-0.770813716362903,34.167420544907316,54.847149834482835,Random(70/15/15)
